run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_bn-m8-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1050,8,20,0.001,1000,1,10,28,16,nan,"[64, 32, 128, 256, 512, 128, 64, 32, 128, 32, 64, 256, 128, 64, 128, 128]",2.7219280948873625,0.11718772329977763,0.09,852.6556476593017,25.24300771934613,0.8924255812811627,22238.220113754272
plain_cnn_bn-m9-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1051,9,20,0.001,1000,1,10,28,8,nan,"[128, 128, 512, 512, 128, 128, 64, 32]",1.4731664038425833,0.11230299600418446,99.44,3510.464138031006,301.79587182912496,0.41265942279293505,82842.25059318542
plain_cnn_bn-m9-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1051,9,20,0.001,1000,1,10,28,8,nan,"[128, 128, 512, 512, 128, 128, 64, 32]",2.313753338682144,0.12206959235821714,98.91,2610.8828536987303,146.3755494679014,0.5586724079172127,76021.95904541016
plain_cnn_bn-m9-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1051,9,20,0.001,1000,1,10,28,8,nan,"[128, 128, 512, 512, 128, 128, 64, 32]",2.5418770179252714,0.10742112694574495,0.01,2668.677610015869,225.21191160635968,1.5549607091621358,81876.48800468445
resnet-m0-mnist-n0-s42,resnet,mnist,0.0,42,2042,0,20,0.001,1000,1,10,28,25,4,"[128, 64, 512, 256]",1.8634527190219714,0.12012027461942572,98.38,14793.601102256775,2818.35880198575,3.5496945074148782,798581.6892747879
resnet-m0-mnist-n50-s42,resnet,mnist,0.5,42,2042,0,20,0.001,1000,1,10,28,25,4,"[128, 64, 512, 256]",2.4002906116630034,0.11231157071564542,84.05,25194.153594779968,2287.947274004937,4.596220576472705,1043516.4961967468
resnet-m0-mnist-n100-s42,resnet,mnist,1.0,42,2042,0,20,0.001,1000,1,10,28,25,4,"[128, 64, 512, 256]",2.527794055163277,0.11132833713478875,1.97,56307.795037841795,3813.9719019399745,0.6223753882128383,1383709.2325649261
resnet-m1-mnist-n0-s42,resnet,mnist,0.0,42,2043,1,20,0.001,1000,1,10,28,33,4,"[128, 128, 512, 64]",1.8343711201831,0.11718772329977763,98.11,27637.02672481537,1879.1582416189774,1.7972099934247288,1452657.260052681
resnet-m1-mnist-n50-s42,resnet,mnist,0.5,42,2043,1,20,0.001,1000,1,10,28,33,4,"[128, 128, 512, 64]",2.4022530823033006,0.11328051311073382,78.73,64455.78828468323,6693.829158030569,0.7508662271265102,1965293.49659729
resnet-m1-mnist-n100-s42,resnet,mnist,1.0,42,2043,1,20,0.001,1000,1,10,28,33,4,"[128, 128, 512, 64]",2.5342012466158588,0.12011741638227207,3.89,94826.5771900177,4103.880642784746,0.5038104658490253,2232240.1987018585
resnet-m2-mnist-n0-s42,resnet,mnist,0.0,42,2044,2,20,0.001,1000,1,10,28,8,4,"[256, 512, 512, 128]",1.635188041803517,0.1230471094647665,98.94,855.6099278450013,142.92920143204566,0.8736244495415152,95109.65908002853
resnet-m2-mnist-n50-s42,resnet,mnist,0.5,42,2044,2,20,0.001,1000,1,10,28,8,4,"[256, 512, 512, 128]",2.3664547056337777,0.11718772329977763,94.22,1654.3325311660767,52.613870369829264,0.5981037773376683,89507.9912366867
resnet-m2-mnist-n100-s42,resnet,mnist,1.0,42,2044,2,20,0.001,1000,1,10,28,8,4,"[256, 512, 512, 128]",2.532332482487651,0.11034796179108573,0.34,1626.0155938148498,77.71691512380212,0.5263054050046242,86175.15140295029
